;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
135;452.78;555.56;-0.1037;0.0657;0.0347;0.0283;66.05061658;65.1274179;66.63478234;66.57824051
136;452.78;555.56;-0.045;-0.028;0.0974;0.0582;65.93743442;65.21360864;66.63872803;66.57605731
137;452.78;555.56;-0.052;0.024;-0.1842;-0.3488;65.88985463;65.20006141;66.70520833;66.60386122
138;452.78;555.56;0.0885;-0.0274;-0.0883;-0.0045;65.8408946;65.24055853;66.48730271;66.22355585
139;452.78;555.56;0.2639;-0.0054;0.1939;0.0319;65.92621493;65.21166777;66.37443383;66.2027434
140;452.78;555.56;-0.1206;-0.0798;0.1415;0.04;66.17711399;65.20593817;66.54850341;66.21916364
141;452.78;555.56;0.0787;-0.0681;-0.0092;-0.1985;66.03589132;65.12686102;66.66286689;66.24302691
142;452.78;555.56;0.1822;-0.1005;0.3412;0.1637;66.10716245;65.06589839;66.62173546;66.02743554
143;452.78;555.56;-0.0111;-0.4395;-0.0836;0.0093;66.27596973;64.96811639;66.93272807;66.18267499
144;452.78;555.56;0.157;0.024;-0.2384;-0.0275;66.25446623;64.54430966;66.80589849;66.17729829
145;452.78;555.56;0.0219;0.1291;0.0209;0.0683;66.397033;64.61314215;66.52957598;66.13533676
146;452.78;555.56;0.1195;-0.0977;0.1661;-0.0074;66.38445502;64.78062092;66.52413343;66.19085481
147;452.78;555.56;-0.0651;-0.0835;0.0521;0.0305;66.46999515;64.7119163;66.66411919;66.16845077
148;452.78;555.56;-0.1284;0.0518;0.0721;-0.0321;66.37172996;64.66127416;66.68423528;66.18484334
149;452.78;555.56;0.1969;-0.1519;0.1028;0.0615;66.21683798;64.7500976;66.7235084;66.13797986
150;452.78;555.56;0.1814;-0.2384;0.1508;0.1876;66.39809018;64.6271907;66.79183614;66.18659211
151;452.78;555.56;-0.0391;0.3099;0.0467;0.0944;66.55594067;64.42824691;66.90530237;66.35935865
152;452.78;555.56;0.0725;-0.0061;0.3056;0.3368;66.4886782;64.79831625;66.90991997;66.43201598
153;452.78;555.56;-0.2609;-0.0823;-0.1667;0.1365;66.53719666;64.82962793;67.1732444;66.74417032
154;452.78;555.56;-0.0678;0.2412;-0.0613;-0.0847;66.26044284;64.7950258;66.95326441;66.84357067
155;452.78;555.56;-0.0741;-0.2129;0.1794;0.1291;66.18402049;65.09027894;66.84787598;66.71781138
156;452.78;555.56;0.4104;0.0078;0.1838;0.0445;66.10143036;64.90600102;66.9875964;66.81086225
157;452.78;555.56;-0.0292;-0.1389;0.187;0.0167;66.5140951;64.9588706;67.12587246;66.81560558
158;452.78;555.56;0.0913;0.3263;-0.2933;0.1082;66.46843276;64.86157213;67.26157057;66.79235999
159;452.78;555.56;0.2238;-0.1842;0.0047;0.2563;66.55164266;65.23527898;66.91130423;66.86154032
160;452.78;555.56;0.0142;-0.0115;0.0968;0.1122;66.74778602;65.0754149;66.87367076;67.07606552
161;452.78;555.56;0.0137;-0.1671;0.1171;0.0919;66.72113737;65.10782412;66.92971175;67.13795619
162;452.78;555.56;0.0327;0.2722;0.0913;-0.0808;66.69791053;64.98485403;67.00370833;67.17708719
163;452.78;555.56;0.1259;-0.0803;0.2103;0.0287;66.69815286;65.31123683;67.04881083;67.04196362
164;452.78;555.56;0.0587;-0.0237;0.0874;-0.111;66.79346591;65.25721127;67.21102827;67.02171007
165;452.78;555.56;-0.0584;0.1778;0.1449;-0.28;66.82271232;65.26270716;67.24357105;66.86256189
166;452.78;555.56;-0.1344;0.0865;0.1088;-0.039;66.73448661;65.46299117;67.33225574;66.54074641
167;452.78;555.56;-0.1608;0.0579;0.1613;0.1733;66.57918082;65.54533883;67.38114105;66.47275943
168;452.78;555.56;-0.0519;-0.0813;0.0362;0.1459;66.40871143;65.59070133;67.48048822;66.61978657
169;452.78;555.56;-0.0763;0.0164;-0.1342;-0.0842;66.36139048;65.49960914;67.45059563;66.73354595
170;452.78;555.56;-0.2325;-0.1402;-0.0947;-0.0497;66.29123263;65.51702386;67.25154833;66.6126697
171;452.78;555.56;0.0837;-0.0218;0.0117;-0.0419;66.06074122;65.3718198;67.10030015;66.53111296
172;452.78;555.56;0.0268;0.0526;-0.2707;-0.0353;66.15383616;65.35176582;67.06176637;66.46061048
173;452.78;555.56;-0.0199;-0.103;-0.1455;0.1674;66.18288467;65.40467962;66.74244245;66.39952277
174;452.78;555.56;0.1634;-0.1287;0.0748;0.3299;66.15014782;65.2959058;66.5616771;66.54357516
175;452.78;555.56;0.1467;-0.0089;-0.113;0.0006;66.29508075;65.17468398;66.60878803;66.84437528
176;452.78;555.56;0.0946;0.2837;-0.0473;-0.0051;66.41667721;65.19361898;66.46612345;66.80388395
177;452.78;555.56;0.0137;-0.2493;0.0905;-0.3351;66.47297105;65.50223417;66.39514341;66.75930524
178;452.78;555.56;0.0132;-0.0198;0.0641;0.1824;66.4420456;65.25479459;66.46494326;66.3865025
179;452.78;555.56;0.0452;0.124;0.3739;0.2683;66.41538486;65.23903644;66.50541276;66.54607512
180;452.78;555.56;0.3859;-0.2365;0.1912;0.18;66.42400415;65.37453791;66.85398396;66.78517547
181;452.78;555.56;-0.0581;-0.2827;0.0516;0.0743;66.78741843;65.14972752;67.00524877;66.92644201
182;452.78;555.56;0.0498;0.0033;-0.0518;0.1886;66.69162732;64.89985262;67.01058688;66.95638376
183;452.78;555.56;-0.0004;-0.0769;-0.0741;-0.0438;66.70962921;64.95444058;66.91230185;67.09943408
184;452.78;555.56;0.037;0.111;-0.0902;0.0013;66.67225544;64.93074107;66.79582665;67.00439591
185;452.78;555.56;0.1732;-0.0599;-0.1361;0.2077;66.66962027;65.09280212;66.6681258;66.95823632
186;452.78;555.56;0.0474;0.2958;-0.1337;0.0435;66.79799212;65.07092414;66.49987399;67.12031293
187;452.78;555.56;0.043;0.1695;-0.2158;-0.1817;66.78590991;65.41270225;66.34107759;67.111745
188;452.78;555.56;-0.118;0.0895;-0.0259;0.0839;66.76347545;65.60425537;66.10684831;66.87831755
189;452.78;555.56;-0.117;0.052;0.2166;-0.1271;66.57151977;65.69333255;66.07236779;66.9197748
190;452.78;555.56;0.0372;0.0963;-0.0658;0.0873;66.39048078;65.74043219;66.28183856;66.74858188
191;452.78;555.56;0.0462;0.0454;-0.0325;0.1053;66.38318915;65.821776;66.20009849;66.79860644
192;452.78;555.56;0.1663;0.0434;-0.0448;0.018;66.38189372;65.84862276;66.15509494;66.86463795
193;452.78;555.56;-0.212;0.0769;-0.3545;-0.0043;66.49888223;65.87425496;66.09968434;66.84073981
194;452.78;555.56;0.1032;0.1058;-0.056;-0.2259;66.22829904;65.93067518;65.73690532;66.79549325
195;452.78;555.56;0.1106;-0.0513;-0.1549;0.3753;66.27368767;66.01031958;65.68791561;66.53044877
196;452.78;555.56;-0.1681;-0.1494;-0.0698;0.0817;66.32171196;65.91683004;65.54209379;66.87717279
197;452.78;555.56;0.0083;-0.2235;0.082;0.0167;66.08202441;65.74547757;65.4875318;66.91647561
198;452.78;555.56;0.3853;-0.0224;0.32;0.0292;66.03067487;65.51336072;65.58707639;66.889214
199;452.78;555.56;-0.0538;0.0347;0.1013;0.114;66.36358785;65.4972287;65.92041351;66.87553747
200;622.22;654.82;-0.2561;0.1192;-0.0369;-0.0341;66.2516812;65.53876319;66.02098459;66.9472054
201;622.22;654.82;0.0127;-0.0322;0.0749;0.2334;66.7955567;66.32652336;66.9717188;68.84472091
202;622.22;654.82;-0.2632;-0.0211;0.1342;-0.251;67.61588228;66.98378326;67.9943587;70.93476241
203;622.22;654.82;-0.0095;-0.3385;-0.2794;0.0605;68.15451807;67.68866694;69.03370184;72.45900901
204;622.22;654.82;0.0172;0.117;-0.1642;-0.0402;68.95820768;68.08687901;69.61647943;74.2361488
205;622.22;654.82;0.0592;0.1387;0.2599;-0.1499;69.76561137;68.98121064;70.29050697;75.8450311
206;622.22;654.82;0.1472;0.2231;-0.0754;0.0936;70.59571221;69.89749602;71.36105909;77.28374629
207;622.22;654.82;0.0632;0.0812;-0.2242;0.1511;71.50942638;70.8904241;72.05278375;78.91243077
